Green Chemistry;"FP:(FP:(EN_ALLTXT:""<GREEN CHEMISTRY>"" AND DP: 2019 AND PA:(""Univ*"" OR College)))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C12N;B09C;C12R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;6;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B32B;B41M;C12N;C23C;C25D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C12N;A01H;A01K;C12M;H01L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;4;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aerobic treatment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C05F;A01C;B01D;C04B;C05G;C12M;C12N;C12P;C12R;E03B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;19;3;2;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C12P;C12M;C05F;C09D;C12R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;29;5;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01D;A01G;B65D;A01B;C05G;E03B;F23G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;108;18;3;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B09B;C01B;C05B;C05D;C05F;C08B;C08H;C12M;C12P;D21C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;10;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C12P;A01C;B01D;B09C;C05F;C08B;C08H;C12M;D21C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;8;2;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;H01M;B01J;D21C;F26B;G05B;G06N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;10;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01F;B01D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;9;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A01N;A61K;B01D;C01B;C07D;C12N;C12P;C12R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;12;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C25B;B01D;B01F;C12P;H01M;A23K;A61K;C01B;C07H;C12M;C12N;E03B;E03D;G05B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;21;5;3;2;2;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C25B;H01M;C12N;C12P;B01D;B01F;C12M;A23F;A61K;A61P;B01J;B65D;C01B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;24;4;4;3;3;2;2;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01J;A01N;A61K;A61P;B01D;B01F;C12N;C12Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;10;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B09B;H01M;A61K;A61P;B01D;B01F;C10L;C12M;C12N;C12P;E03B;E03D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;14;2;2;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01D;B01F;B32B;C08J;E03D;E04B;F03D;G05D;H01L;H02K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;9;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01D;B01F;B32B;C08J;A23K;A61K;B01J;B09C;C07H;E04H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;10;3;3;3;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C05F;C05B;C05G;A62D;B01D;B01F;C05D;C12M;C12N;C12S;D21F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;11;4;3;3;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01D;A23K;B01J;C07H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;5;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B09C;C07K;C12M;C12N;G01N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;6;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B09B;B09C;C12P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B09C;C12N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A62D;B01J;B09B;B09C;C12N;C12P;E03F;H01L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nomero;5;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flocculation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;B01J;C12N;B01D;A61P;C07K;G01N;C08L;C09K;C12P;C08F;C08K;A23L;C12R;C01G;C08B;C08J;C01B;C08C;C12M;B01F;B03D;C10M;B82Y;C07F;C08G;C10G;E21B;A01N;B03C;B09C;C01F;C04B;C07C;C09D;C22B;D21H;E02D;G02B;A61B;A61L;A61N;A61Q;B01L;B03B;B09B;B32B;C01D;C07D;
Nomero;193;45;27;26;23;16;16;16;14;13;13;11;11;10;9;7;7;7;6;6;6;5;5;5;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;B01J;B01D;C12N;G01N;C12R;C08F;C07K;C08B;C08L;C12P;C12Q;C07F;C12M;A23L;B82Y;C08J;C08K;C09D;A61P;B01F;B03C;A01N;C01G;C04B;C09K;A61N;C07C;C08G;A23P;A61Q;B03D;B22F;C01B;C01F;C08H;A01G;A01K;A23K;A61B;A61L;B05D;C01D;C09B;C11B;C22B;E02D;E03B;H01G;
Nomero;230;46;34;30;29;20;17;13;12;12;12;11;11;10;9;8;8;8;8;8;7;7;7;6;6;6;6;5;5;5;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;C12N;B01D;G01N;B01J;C07K;C12P;C08B;C08F;B82Y;C08L;C09K;C12R;C01G;C08J;C09D;C12Q;C01B;A23L;B01F;B03D;C07C;A01N;C08G;C08K;B01L;C09C;E21B;H01M;A01K;A61N;A61P;B03C;B22F;C04B;C07F;C12M;E02F;H01L;A01G;A61L;B02C;B03B;B09C;C01F;C05B;C05F;C07H;E03F;
Nomero;207;39;31;29;24;20;17;16;13;12;9;9;9;9;8;8;8;8;7;6;6;6;6;5;5;5;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;C12N;C07K;B01D;B82Y;C04B;G01N;C09K;C12P;C08F;A61P;C10L;C08L;C12R;E21B;A01N;H01L;B01J;H01B;A23K;A23L;A61L;A61Q;B01F;C01B;C08G;C09B;C12Q;D06M;A61N;B09B;B29C;C08J;C08K;C10G;C11C;G21F;G21K;A01G;A61F;B22F;B32B;C01F;C07C;C07H;C09C;C09D;C11B;C11D;
Nomero;89;38;30;23;16;13;13;13;12;12;11;10;8;7;7;7;6;6;5;5;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;C12N;B82Y;C07K;A61P;G01N;B01J;B01D;C12P;C09K;C01B;C08B;C12R;A23L;C08K;C09D;C04B;C07C;C08F;C12Q;C07H;C08L;C12M;E21B;C01G;C08J;C10G;C13B;H01B;H01L;A01N;A61N;B09C;A61L;A61Q;B01F;B02C;B03D;B08B;B22F;B32B;B41J;C01F;C07F;C08C;C09C;C10L;C11D;C12C;
Nomero;59;51;33;17;15;14;14;13;12;12;10;9;9;9;7;7;7;6;6;6;6;5;5;5;5;4;4;4;4;4;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;C12N;A61P;C07K;C12P;B01D;G01N;B01J;B82Y;C04B;C08F;C08J;C12R;C01B;C08K;C09K;C10G;C12M;C08L;C10L;C12Q;H01B;A23L;A61L;C07H;C08B;E21B;A01G;A01N;A23D;A23J;A23P;B03D;B05D;B09B;B60C;B82B;C01G;C07C;C07F;C08C;C11B;D21H;H01L;A61B;A61M;A61N;B03B;B03C;
Nomero;55;44;26;18;14;14;13;10;8;8;7;7;7;7;6;6;6;6;6;5;4;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;C12N;B01D;G01N;C12P;A61P;C07K;B01J;C04B;C08F;B82Y;C08B;C12Q;C07C;C12M;C12R;A61L;C08L;B05D;C07G;C08H;C10G;C10L;A01N;B03C;B09B;C01B;C07D;C07H;C08J;C08K;C09J;C09K;C11B;C11C;D21H;G21F;H01L;A01D;A01G;A01H;A01P;A21D;A23F;A23K;A23L;A61F;A61M;B01F;
Nomero;40;32;29;20;14;13;11;11;8;8;7;6;6;6;5;5;5;4;4;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;C12N;C07K;B01D;C12P;G01N;C08F;A23L;A61P;B01J;C12R;C11B;B82Y;C08L;C09D;C01G;C08K;C09K;C12M;H01L;A23J;C01B;C07C;C12Q;A01N;A23P;B82B;C04B;C08B;C08G;C08J;C09C;C10L;A01G;A61Q;B01F;B03D;C07D;C10M;C13K;D01F;D21H;H01G;H01J;A01P;A24B;A61L;A61M;A62D;
Nomero;60;37;28;14;13;13;13;12;10;9;9;8;7;6;6;6;5;5;5;5;5;4;4;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01D;C12N;A61K;C12P;G01N;C07K;C08F;C12Q;B01J;B82Y;C12R;A61P;C08B;C12M;H01L;A01N;C07H;C09K;A23L;C08K;C08L;C11B;B03D;A01K;B32B;B82B;C04B;C07C;C10G;D21C;A01H;A01P;A23D;B03B;B05D;B22F;B24B;C01B;C01G;C05B;C05F;C08G;C08H;C09D;C10L;C10M;C11C;D21B;G11B;
Nomero;85;34;31;29;18;15;14;11;11;10;9;8;7;7;7;7;6;6;6;5;5;5;5;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;C12N;B01D;G01N;A61P;C07K;C12P;B01J;C08F;C09K;C08L;C08J;C12Q;A01K;A23L;B05D;C01B;C04B;C09D;H01B;B32B;C08G;C08K;E21B;C11B;D21H;H01L;A01N;A01P;A23J;A23K;B01F;B82B;B82Y;C01F;C07C;C07F;C07H;C12M;C12R;C40B;A01G;A61M;A61Q;A62D;B03D;C01G;C07D;C08B;
Nomero;59;38;21;20;17;14;14;14;13;11;11;10;7;7;6;6;6;6;6;6;6;5;5;5;5;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;C02F;C12P;C12N;G01N;B01D;C01B;B01J;C07K;C12Q;A61P;C08F;C12M;B03D;C07C;C12R;B32B;C04B;C07H;C09K;A01N;C01G;C05F;C11B;C22B;H01L;A01G;A01K;A23D;A23K;A23L;A61B;A61Q;B01F;B03B;B82Y;C07D;C07F;C08B;C08G;C08J;C08K;C09C;C09D;F24J;H01M;A01P;A23J;A61M;A61N;
Nomero;33;32;19;16;12;11;10;9;9;9;8;6;6;5;5;5;4;4;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;C12N;G01N;A61K;C12Q;C01B;C08F;C12P;C07K;A01N;B01D;B01J;A23L;C01G;C07H;C12M;B05D;C12R;A23D;A61P;B01F;B03B;B82B;C09C;C10L;A01K;A01P;A23C;A23J;B03D;B22F;B29C;C01F;C07F;C09D;C22B;D21H;G01J;H01L;H01M;A01H;A23K;A61B;A62D;B09B;B29B;C08G;C09B;C09J;C09K;
Nomero;38;21;20;19;13;11;11;11;9;6;6;6;5;5;5;5;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;G01N;A61K;C12N;B01D;C12Q;C08F;C09D;C12P;B05D;C08J;H01B;A23L;C08L;G02F;B01F;B01J;B32B;C12M;A23D;B03B;B29C;C07C;C07H;C07K;C08G;C09C;C12R;C22B;F17C;A01N;A61P;A61Q;B09C;B23B;B44C;C01B;C01G;C07F;C08C;C08K;C09B;C09J;C09K;C10G;C25B;C25C;C25D;D01F;D02G;
Nomero;18;15;14;14;8;8;7;7;7;6;5;5;4;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;G01N;B01J;C01B;C08F;C12N;B01D;C07K;C12P;C12Q;B01F;F17C;C08J;C08L;H01M;A01N;A61M;A61Q;B01L;B29C;B32B;C07C;C07H;C08G;C09D;C12M;G06F;A61L;B03B;B03C;B03D;B05D;B09C;B22F;C04B;C07D;C07F;C07G;C07J;C08K;C09C;C12R;C13B;C22B;C22C;C25C;C25D;D01D;D01F;
Nomero;27;18;16;8;8;8;7;6;5;5;5;4;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;A61K;G01N;C07K;B01D;B01J;C12N;C07C;C07F;A61L;C12Q;A01N;C12P;A23D;A23L;A61P;B01F;C01B;C07H;C08F;C08G;C12M;G21K;A61Q;B01L;C04B;C08B;C10G;C11D;D21H;H01J;H01L;H05H;A01K;A61F;A61J;A61M;A62D;B03B;B05B;B05D;B09B;B09C;B22F;B29C;B41J;B82Y;C01G;C05F;C07D;
Nomero;28;19;15;13;10;10;8;7;7;5;5;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;A61K;G01N;C12N;C01B;C07K;B01J;B01D;B01F;C08G;C02F;C12P;A61P;C04B;C08L;A23D;A61L;B32B;C07C;C12Q;C12R;H01L;A01H;A01K;A01N;B82B;C07D;C07H;C09C;C30B;H01M;A01G;A23J;A61F;A61M;B03B;B03C;B03D;B05B;B05D;B22F;B23H;B23K;B82Y;C07B;C07F;C08C;C08F;C08K;C09K;C10G;
Nomero;25;16;13;12;12;10;7;6;6;5;5;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C02F;B01J;G01N;C12N;A61K;C12P;H01L;C01B;C30B;B82B;B01D;B01F;B32B;B05D;C07F;C08F;C08G;C12R;H01M;A61L;A61P;B03B;C04B;C07C;C07D;C07K;C08K;D21G;C08C;C08J;C09D;C12M;C12Q;D21H;H01B;H01S;H05B;H05K;A01K;A23C;A61B;A61J;A61N;A62D;B03C;B03D;B09C;B41J;C07B;;
Nomero;24;17;17;14;13;10;10;9;7;6;5;5;5;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codigo ICP;C12N;A61K;B01J;C02F;G01N;C01B;C07K;C12P;C07C;B01D;B01F;C07B;C12Q;B32B;C09C;C12H;C23C;A01K;A61B;C07D;C08J;C12M;A01H;A01N;A61P;B03B;B03D;B22F;B29C;C01F;C01G;C04B;C08F;C08K;C08L;C09K;C10G;C11D;C22B;G02F;G05B;G21K;H01J;;;;;;;;
